epoch,total_loss,pde_loss,ic_loss,bc_loss,data_loss,eta,lambda_f,k,C_f
1.200000000000000000e+01,6.121317871093750000e+03,3.659974550828337669e-03,2.098582267761230469e+01,2.812677764892578125e+01,1.210058116912841797e+01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.300000000000000000e+01,5.140091796875000000e+03,4.254460800439119339e-03,1.821754264831542969e+01,2.343712806701660156e+01,9.746242523193359375e+00,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.400000000000000000e+01,4.247972656250000000e+03,4.936791025102138519e-03,1.578379249572753906e+01,1.908368301391601562e+01,7.612251758575439453e+00,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.500000000000000000e+01,3.391912841796875000e+03,5.628517828881740570e-03,1.309781932830810547e+01,1.508554458618164062e+01,5.735764026641845703e+00,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.600000000000000000e+01,2.626815917968750000e+03,6.118095479905605316e-03,1.065898609161376953e+01,1.146740245819091797e+01,4.141772270202636719e+00,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.700000000000000000e+01,1.992220703125000000e+03,6.940973456948995590e-03,8.498400688171386719e+00,8.582994461059570312e+00,2.840811491012573242e+00,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.800000000000000000e+01,1.451374633789062500e+03,7.454155012965202332e-03,6.428509712219238281e+00,6.256187438964843750e+00,1.829049587249755859e+00,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.900000000000000000e+01,1.034163085937500000e+03,7.872474379837512970e-03,4.872655391693115234e+00,4.379769325256347656e+00,1.089206933975219727e+00,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
2.000000000000000000e+01,7.018128662109375000e+02,8.049638941884040833e-03,3.507328271865844727e+00,2.916801929473876953e+00,5.939983129501342773e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
2.100000000000000000e+01,4.679664916992187500e+02,8.456190116703510284e-03,2.299772500991821289e+00,2.070911645889282227e+00,3.089806139469146729e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
2.200000000000000000e+01,3.041736755371093750e+02,8.491157554090023041e-03,1.479449868202209473e+00,1.366576910018920898e+00,1.957101970911026001e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
2.300000000000000000e+01,2.192723541259765625e+02,8.076969534158706665e-03,8.624941110610961914e-01,1.115286946296691895e+00,2.149424254894256592e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
2.400000000000000000e+01,1.855485534667968750e+02,7.995421998202800751e-03,4.450705945491790771e-01,1.081669330596923828e+00,3.287456631660461426e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
2.500000000000000000e+01,1.904708251953125000e+02,7.677777204662561417e-03,2.169475108385086060e-01,1.185456752777099609e+00,5.023039579391479492e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
2.600000000000000000e+01,2.212218627929687500e+02,7.450459059327840805e-03,9.681575745344161987e-02,1.410101890563964844e+00,7.053009867668151855e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
2.700000000000000000e+01,2.689717712402343750e+02,7.129613310098648071e-03,7.305729389190673828e-02,1.704064846038818359e+00,9.125955700874328613e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
2.800000000000000000e+01,3.107857055664062500e+02,6.598595995455980301e-03,1.017337441444396973e-01,1.901124238967895508e+00,1.104999065399169922e+00,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
2.900000000000000000e+01,3.650682373046875000e+02,6.586989387869834900e-03,1.513618081808090210e-01,2.230369806289672852e+00,1.268950462341308594e+00,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
3.000000000000000000e+01,4.043658447265625000e+02,6.511149462312459946e-03,2.223919779062271118e-01,2.425098896026611328e+00,1.396167397499084473e+00,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
3.100000000000000000e+01,4.390042724609375000e+02,5.902555305510759354e-03,2.876903414726257324e-01,2.619821071624755859e+00,1.482531189918518066e+00,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
3.200000000000000000e+01,4.578242187500000000e+02,5.834277719259262085e-03,3.380181491374969482e-01,2.712265491485595703e+00,1.527958393096923828e+00,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
3.300000000000000000e+01,4.602957153320312500e+02,5.219675134867429733e-03,3.541551828384399414e-01,2.714004993438720703e+00,1.534796595573425293e+00,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
3.400000000000000000e+01,4.592501220703125000e+02,5.421165842562913895e-03,3.562971949577331543e-01,2.729068756103515625e+00,1.507135272026062012e+00,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
3.500000000000000000e+01,4.460271606445312500e+02,5.498028825968503952e-03,3.561032116413116455e-01,2.653999567031860352e+00,1.450168967247009277e+00,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
3.600000000000000000e+01,4.167126464843750000e+02,5.165706854313611984e-03,3.257870376110076904e-01,2.471905231475830078e+00,1.369434118270874023e+00,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
3.700000000000000000e+01,3.973035888671875000e+02,5.117130000144243240e-03,2.933389246463775635e-01,2.408591747283935547e+00,1.271105408668518066e+00,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
3.800000000000000000e+01,3.622655639648437500e+02,4.669167567044496536e-03,2.528456747531890869e-01,2.209090232849121094e+00,1.160719633102416992e+00,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
3.900000000000000000e+01,3.305341491699218750e+02,5.047741346061229706e-03,2.033239006996154785e-01,2.058371543884277344e+00,1.043645858764648438e+00,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
4.000000000000000000e+01,2.990885009765625000e+02,4.405586048960685730e-03,1.589284092187881470e-01,1.907019376754760742e+00,9.249371886253356934e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
4.100000000000000000e+01,2.731106567382812500e+02,4.227358382195234299e-03,1.141824871301651001e-01,1.808144092559814453e+00,8.087801337242126465e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
4.200000000000000000e+01,2.366200256347656250e+02,4.361389204859733582e-03,7.582892477512359619e-02,1.592044115066528320e+00,6.983272433280944824e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
4.300000000000000000e+01,2.130833129882812500e+02,4.338495898991823196e-03,4.395997524261474609e-02,1.489954233169555664e+00,5.969190001487731934e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
4.400000000000000000e+01,1.942603454589843750e+02,4.373159259557723999e-03,2.106394805014133453e-02,1.415468096733093262e+00,5.060713291168212891e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
4.500000000000000000e+01,1.748117370605468750e+02,4.038247279822826385e-03,6.817973684519529343e-03,1.314168453216552734e+00,4.271310269832611084e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
4.600000000000000000e+01,1.593344421386718750e+02,3.736997488886117935e-03,8.971643401309847832e-04,1.231636881828308105e+00,3.608104288578033447e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
4.700000000000000000e+01,1.538246154785156250e+02,3.710053395479917526e-03,3.330642124637961388e-03,1.228462815284729004e+00,3.064526617527008057e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
4.800000000000000000e+01,1.433013000488281250e+02,4.353196360170841217e-03,1.225963607430458069e-02,1.156940221786499023e+00,2.638131976127624512e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
4.900000000000000000e+01,1.401209106445312500e+02,3.904099576175212860e-03,2.707742527127265930e-02,1.142179250717163086e+00,2.319524884223937988e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
5.000000000000000000e+01,1.451644134521484375e+02,3.976794891059398651e-03,4.742284119129180908e-02,1.195065259933471680e+00,2.091560512781143188e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
5.100000000000000000e+01,1.393749237060546875e+02,3.915033303201198578e-03,6.621511280536651611e-02,1.133597135543823242e+00,1.939369589090347290e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
5.200000000000000000e+01,1.542486724853515625e+02,3.638656344264745712e-03,9.092563390731811523e-02,1.267003178596496582e+00,1.845579445362091064e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
5.300000000000000000e+01,1.449292144775390625e+02,3.757955273613333702e-03,1.108905971050262451e-01,1.158846139907836914e+00,1.795554012060165405e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
5.400000000000000000e+01,1.597444763183593750e+02,4.045255016535520554e-03,1.298668533563613892e-01,1.290146112442016602e+00,1.774318218231201172e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
5.500000000000000000e+01,1.567337951660156250e+02,3.488129703328013420e-03,1.453735381364822388e-01,1.244948387145996094e+00,1.770159751176834106e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
5.600000000000000000e+01,1.637356262207031250e+02,3.785306354984641075e-03,1.559571921825408936e-01,1.304031252861022949e+00,1.773678809404373169e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
5.700000000000000000e+01,1.624284057617187500e+02,3.568711690604686737e-03,1.656401157379150391e-01,1.280798077583312988e+00,1.778458654880523682e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
5.800000000000000000e+01,1.702909088134765625e+02,3.817608579993247986e-03,1.689410507678985596e-01,1.355883002281188965e+00,1.780850291252136230e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
5.900000000000000000e+01,1.631481018066406250e+02,3.745758673176169395e-03,1.684023141860961914e-01,1.285171031951904297e+00,1.779077500104904175e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
6.000000000000000000e+01,1.645527648925781250e+02,3.715973114594817162e-03,1.619752496480941772e-01,1.306128144264221191e+00,1.774242520332336426e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
6.100000000000000000e+01,1.712562255859375000e+02,4.161795601248741150e-03,1.565084457397460938e-01,1.379227876663208008e+00,1.768257915973663330e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
6.200000000000000000e+01,1.588663940429687500e+02,3.635103348642587662e-03,1.450022011995315552e-01,1.267279624938964844e+00,1.763821095228195190e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
6.300000000000000000e+01,1.529846038818359375e+02,3.822377650067210197e-03,1.331401318311691284e-01,1.220294237136840820e+00,1.764116436243057251e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
6.400000000000000000e+01,1.570795440673828125e+02,4.144045989960432053e-03,1.222381889820098877e-01,1.271376013755798340e+00,1.771811842918395996e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
6.500000000000000000e+01,1.539640197753906250e+02,3.817143151536583900e-03,1.095424145460128784e-01,1.251181840896606445e+00,1.789158433675765991e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
6.600000000000000000e+01,1.453491668701171875e+02,4.322779830545186996e-03,9.685461968183517456e-02,1.174890160560607910e+00,1.817468851804733276e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
6.700000000000000000e+01,1.534659576416015625e+02,3.836143761873245239e-03,8.526892215013504028e-02,1.263673186302185059e+00,1.857174038887023926e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
6.800000000000000000e+01,1.474281158447265625e+02,3.679175861179828644e-03,7.159706205129623413e-02,1.211880564689636230e+00,1.908035427331924438e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
6.900000000000000000e+01,1.415266265869140625e+02,4.271561745554208755e-03,6.214705854654312134e-02,1.156289339065551758e+00,1.968297809362411499e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
7.000000000000000000e+01,1.470391845703125000e+02,4.165529739111661911e-03,5.235221609473228455e-02,1.214435219764709473e+00,2.036044150590896606e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
7.100000000000000000e+01,1.435274810791015625e+02,4.463005345314741135e-03,4.413337260484695435e-02,1.180106759071350098e+00,2.110346853733062744e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
7.200000000000000000e+01,1.430192108154296875e+02,4.292209632694721222e-03,3.664671629667282104e-02,1.174731135368347168e+00,2.188142240047454834e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
7.300000000000000000e+01,1.428104858398437500e+02,4.153472371399402618e-03,3.197959437966346741e-02,1.169434309005737305e+00,2.266910523176193237e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
7.400000000000000000e+01,1.421981658935546875e+02,4.455941263586282730e-03,2.609903737902641296e-02,1.161574482917785645e+00,2.343081980943679810e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
7.500000000000000000e+01,1.429347839355468750e+02,4.290166310966014862e-03,2.164040878415107727e-02,1.166298389434814453e+00,2.414090186357498169e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
7.600000000000000000e+01,1.333255767822265625e+02,4.319938831031322479e-03,1.933502219617366791e-02,1.066158771514892578e+00,2.477619647979736328e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
7.700000000000000000e+01,1.442352600097656250e+02,4.237968940287828445e-03,1.735582016408443451e-02,1.171969294548034668e+00,2.530274689197540283e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
7.800000000000000000e+01,1.402499084472656250e+02,4.185784608125686646e-03,1.543674804270267487e-02,1.129888772964477539e+00,2.571735084056854248e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
7.900000000000000000e+01,1.440842590332031250e+02,4.322064109146595001e-03,1.461838278919458389e-02,1.166210889816284180e+00,2.600133121013641357e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
8.000000000000000000e+01,1.428534545898437500e+02,4.331160802394151688e-03,1.442320179194211960e-02,1.152376055717468262e+00,2.617353200912475586e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
8.100000000000000000e+01,1.382044982910156250e+02,4.513593856245279312e-03,1.428968179970979691e-02,1.105403542518615723e+00,2.623517513275146484e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
8.200000000000000000e+01,1.450497283935546875e+02,4.247607663273811340e-03,1.456452440470457077e-02,1.173817396163940430e+00,2.621154189109802246e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
8.300000000000000000e+01,1.410955200195312500e+02,4.884758032858371735e-03,1.560973562300205231e-02,1.134190917015075684e+00,2.611545920372009277e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
8.400000000000000000e+01,1.405405426025390625e+02,4.759103059768676758e-03,1.597171276807785034e-02,1.130117535591125488e+00,2.593161165714263916e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
8.500000000000000000e+01,1.375553741455078125e+02,4.771430045366287231e-03,1.767974160611629486e-02,1.101084709167480469e+00,2.567892670631408691e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
8.600000000000000000e+01,1.409172058105468750e+02,4.673382733017206192e-03,1.906853355467319489e-02,1.136404871940612793e+00,2.536986768245697021e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
8.700000000000000000e+01,1.413225708007812500e+02,4.881285130977630615e-03,2.174682915210723877e-02,1.141164660453796387e+00,2.503142356872558594e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
8.800000000000000000e+01,1.437263793945312500e+02,4.811377264559268951e-03,2.439128048717975616e-02,1.166222929954528809e+00,2.466495633125305176e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
8.900000000000000000e+01,1.400366973876953125e+02,5.047014448791742325e-03,2.671986259520053864e-02,1.130811691284179688e+00,2.428353875875473022e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
9.000000000000000000e+01,1.330494232177734375e+02,4.643990192562341690e-03,2.834185585379600525e-02,1.062937259674072266e+00,2.392151653766632080e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
9.100000000000000000e+01,1.361003265380859375e+02,4.903848748654127121e-03,3.110335022211074829e-02,1.094242095947265625e+00,2.356578111648559570e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
9.200000000000000000e+01,1.388188629150390625e+02,4.987548105418682098e-03,3.522244840860366821e-02,1.120921373367309570e+00,2.320447117090225220e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
9.300000000000000000e+01,1.409454040527343750e+02,5.058202426880598068e-03,3.724144026637077332e-02,1.143455386161804199e+00,2.287572920322418213e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
9.400000000000000000e+01,1.415385894775390625e+02,5.380467977374792099e-03,3.995208814740180969e-02,1.149581313133239746e+00,2.258525639772415161e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
9.500000000000000000e+01,1.381337585449218750e+02,5.107325036078691483e-03,4.372416809201240540e-02,1.114225268363952637e+00,2.233882695436477661e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
9.600000000000000000e+01,1.376221160888671875e+02,5.135072860866785049e-03,4.381636902689933777e-02,1.111130952835083008e+00,2.212738692760467529e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
9.700000000000000000e+01,1.426578369140625000e+02,5.102815572172403336e-03,4.587251320481300354e-02,1.161299228668212891e+00,2.194066494703292847e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
9.800000000000000000e+01,1.361645202636718750e+02,4.475737456232309341e-03,4.793059080839157104e-02,1.095804452896118164e+00,2.179102301597595215e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
9.900000000000000000e+01,1.351302795410156250e+02,4.939740989357233047e-03,4.863111674785614014e-02,1.086006164550781250e+00,2.166654914617538452e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.000000000000000000e+02,1.403780517578125000e+02,5.065909586846828461e-03,5.020831152796745300e-02,1.137883663177490234e+00,2.156886309385299683e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.010000000000000000e+02,1.292752227783203125e+02,5.061987321823835373e-03,5.247102677822113037e-02,1.025234580039978027e+00,2.150465846061706543e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.020000000000000000e+02,1.396529083251953125e+02,5.838097073137760162e-03,5.303331092000007629e-02,1.128944158554077148e+00,2.145515978336334229e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.030000000000000000e+02,1.393504333496093750e+02,5.538697354495525360e-03,5.570781230926513672e-02,1.123460769653320312e+00,2.143357247114181519e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.040000000000000000e+02,1.327687683105468750e+02,5.494894459843635559e-03,5.424687266349792480e-02,1.059024930000305176e+00,2.144158780574798584e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.050000000000000000e+02,1.481619720458984375e+02,5.479339975863695145e-03,5.379346385598182678e-02,1.213179230690002441e+00,2.146469801664352417e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.060000000000000000e+02,1.407019195556640625e+02,5.637779366225004196e-03,5.396823212504386902e-02,1.137824773788452148e+00,2.152261734008789062e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.070000000000000000e+02,1.388423156738281250e+02,5.664215423166751862e-03,5.386594310402870178e-02,1.118573188781738281e+00,2.159839868545532227e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.080000000000000000e+02,1.344748687744140625e+02,5.482750944793224335e-03,5.254667997360229492e-02,1.075421929359436035e+00,2.167800962924957275e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.090000000000000000e+02,1.332155761718750000e+02,5.716347135603427887e-03,5.420114099979400635e-02,1.060398221015930176e+00,2.175564318895339966e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.100000000000000000e+02,1.404087677001953125e+02,5.195953883230686188e-03,5.276642367243766785e-02,1.132966279983520508e+00,2.183550149202346802e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.110000000000000000e+02,1.387381134033203125e+02,5.617211572825908661e-03,5.375177413225173950e-02,1.114486336708068848e+00,2.191430479288101196e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.120000000000000000e+02,1.364044494628906250e+02,5.891094915568828583e-03,5.098235607147216797e-02,1.093022227287292480e+00,2.200399041175842285e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.130000000000000000e+02,1.299367523193359375e+02,5.684424191713333130e-03,4.920930787920951843e-02,1.028981566429138184e+00,2.211767137050628662e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.140000000000000000e+02,1.348908691406250000e+02,5.324989091604948044e-03,5.094158649444580078e-02,1.075846910476684570e+00,2.221201658248901367e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
1.150000000000000000e+02,1.338595123291015625e+02,5.741135217249393463e-03,4.900991171598434448e-02,1.066670417785644531e+00,2.229148596525192261e-01,3.003708422183990479e-01,3.133543133735656738e-01,1.004639863967895508e-01,2.015919446945190430e+00
