epoch,total,pde,ic,bc,data,eta,lamda_f,k,cf
1,3266.0634765625,3.4277520626346814e-06,41.88795852661133,154.7108612060547,30.694612503051758,0.36983340978622437,0.21953490376472473,0.11390785872936249,1.694481372833252
1000,3.425853729248047,0.0017411067383363843,0.01178157888352871,0.3991680145263672,0.012737976387143135,0.371243417263031,0.21161526441574097,0.11295482516288757,1.6574280261993408
2000,0.5149090886116028,0.00017475719505455345,0.005019779317080975,0.020710868760943413,0.0031442122999578714,0.39787760376930237,0.20138303935527802,0.1164601519703865,1.7216801643371582
3000,0.2721911072731018,6.756210495950654e-05,0.003999521490186453,0.015962280333042145,0.001846672035753727,0.4030221402645111,0.19821158051490784,0.11696954071521759,1.7321510314941406
4000,0.07420293241739273,4.166176586295478e-05,0.0030000940896570683,0.0058103082701563835,0.00023730762768536806,0.40315747261047363,0.1976962834596634,0.1168498694896698,1.7314538955688477
5000,0.13792885839939117,3.306952567072585e-05,0.0034201513044536114,0.005789764225482941,0.000956494128331542,0.4030647277832031,0.19719773530960083,0.11660182476043701,1.7302758693695068
6000,0.0538211464881897,3.392903090571053e-05,0.0022281340789049864,0.00446887593716383,0.00013195104838814586,0.4028776288032532,0.19657474756240845,0.11617183685302734,1.7287787199020386
7000,0.06098020076751709,1.9856666767736897e-05,0.0022116319742053747,0.005970479920506477,0.00032941423705779016,0.40272390842437744,0.19565583765506744,0.1154688149690628,1.7269325256347656
8000,0.035078953951597214,1.9969958884757943e-05,0.0016574914334341884,0.0033749588765203953,0.00010076544276671484,0.4027182161808014,0.1944015622138977,0.11437210440635681,1.724800705909729
9000,1.0619112253189087,2.2987829652265646e-05,0.015424923039972782,0.03479219228029251,0.009887062013149261,0.4031205475330353,0.1928272247314453,0.11280322074890137,1.722599744796753
10000,0.028820697218179703,1.622569288883824e-05,0.0017702896147966385,0.002700411481782794,8.124304440570995e-05,0.4039113223552704,0.19112759828567505,0.11085452884435654,1.7203611135482788
11000,0.4947078824043274,1.5659483324270695e-05,0.0035805702209472656,0.017392823472619057,0.0045807501301169395,0.40492990612983704,0.18948546051979065,0.10894618183374405,1.7177977561950684
12000,0.27032482624053955,1.7307549569522962e-05,0.0037258651573210955,0.006804248318076134,0.0024248717818409204,0.40580153465270996,0.1880439668893814,0.10723791271448135,1.71451997756958
13000,0.0425642691552639,1.1731249287549872e-05,0.0014540215488523245,0.0023883883841335773,0.00026990610058419406,0.40643781423568726,0.18672558665275574,0.10588101297616959,1.7099777460098267
14000,0.04456930235028267,8.136692486004904e-06,0.0012684653047472239,0.0025641878601163626,0.0003259995428379625,0.40693384408950806,0.18565696477890015,0.10482078045606613,1.705488681793213
15000,0.1056610643863678,1.2725676242553163e-05,0.0010147590655833483,0.00454293005168438,0.0008737769676372409,0.40729010105133057,0.18466846644878387,0.10397665202617645,1.7003061771392822
16000,0.09293019026517868,8.28281099529704e-06,0.001321092713624239,0.004521630704402924,0.0007880465709604323,0.4073941111564636,0.18380741775035858,0.10327485203742981,1.6943145990371704
17000,0.03135567903518677,7.279495093825972e-06,0.0014187481720000505,0.0017243361799046397,0.0002093310176860541,0.4074544310569763,0.18303363025188446,0.1027267724275589,1.6885359287261963
18000,0.13932621479034424,7.0221744863374624e-06,0.0026425106916576624,0.004549045115709305,0.0012511248933151364,0.4073924422264099,0.18232962489128113,0.1022709310054779,1.682820200920105
19000,0.023229502141475677,1.0095277502841782e-05,0.0008750011911615729,0.0010116802295669913,0.00011247544171055779,0.4072903096675873,0.18167676031589508,0.10190901160240173,1.6771554946899414
20000,0.010671019554138184,4.902959062746959e-06,0.0010459359036758542,0.0009607559186406434,3.761368498089723e-05,0.4071536362171173,0.18109285831451416,0.10162089020013809,1.6718237400054932
21000,0.009258249774575233,5.261834303382784e-06,0.0008265128126367927,0.0010165501153096557,2.1533522158279084e-05,0.40697479248046875,0.18054133653640747,0.10138361155986786,1.6667839288711548
22000,0.01166575774550438,5.4840184020577e-06,0.0007852765847928822,0.000707455154042691,4.6890076191630214e-05,0.40675073862075806,0.18004511296749115,0.10119446367025375,1.6618945598602295
23000,0.07181146740913391,5.13934537593741e-06,0.0010026497766375542,0.0032437844201922417,0.0006242569070309401,0.40652555227279663,0.1795603632926941,0.10103477537631989,1.6571683883666992
24000,0.00671426672488451,3.3810704280767823e-06,0.0007203111308626831,0.0007317988201975822,1.8810864276019856e-05,0.4062603712081909,0.1791241317987442,0.10090461373329163,1.6526567935943604
25000,0.07521694153547287,5.231318937148899e-06,0.0007415377767756581,0.0035298976581543684,0.0006571419071406126,0.40597331523895264,0.17866909503936768,0.10080179572105408,1.6480463743209839
26000,0.011560354381799698,3.859573098452529e-06,0.0006706929998472333,0.0008386312401853502,6.19145721429959e-05,0.4056600332260132,0.17827370762825012,0.10070420056581497,1.643791913986206
27000,0.012019922956824303,7.909799023764208e-06,0.0006400254205800593,0.0004998603835701942,2.9702383471885696e-05,0.40535902976989746,0.1778787076473236,0.10061652213335037,1.639723539352417
28000,0.01107698306441307,3.586162165447604e-06,0.0006627793773077428,0.000514016195666045,6.314025813480839e-05,0.4050699472427368,0.17750070989131927,0.10054837167263031,1.6358380317687988
29000,0.029827238991856575,3.414308366700425e-06,0.000937224889639765,0.0010545423720031977,0.00024421163834631443,0.40478017926216125,0.17712630331516266,0.10049088299274445,1.6321468353271484
30000,0.01966809295117855,3.7493553008971503e-06,0.000669600092805922,0.0010594450868666172,0.00014189693320076913,0.40446335077285767,0.17676898837089539,0.10043591260910034,1.6284503936767578
31000,0.006246510427445173,4.230560989526566e-06,0.0005787806585431099,0.00033148634247481823,1.1056823495891877e-05,0.404107004404068,0.176386758685112,0.10037146508693695,1.6245285272598267
32000,0.13668867945671082,2.5166571504087187e-05,0.0010877130553126335,0.0029934898484498262,0.0010744089959189296,0.40385183691978455,0.17606249451637268,0.10034360736608505,1.6213531494140625
